"name","id","Con","Green","Lab","LibDem","Plaid","SNP","UKIP","Win","Second"
"Tunbridge Wells","E14001004",58.7,5.2,14.2,8.4,0,0,12.6,"Conservative","Labour"
"Twickenham","E14001005",41.3,4,11.5,38,0,0,4.9,"Conservative","Liberal Democrat"
"Tynemouth","E14001006",32.8,3.8,48.2,3,0,0,12.2,"Labour","Conservative"
"Tyneside North","E14000853",19.2,3.1,55.9,4.4,0,0,16.3,"Labour","Conservative"
"Uxbridge & Ruislip South","E14001007",50.2,3.2,26.4,4.9,0,0,14.2,"Conservative","Labour"
"Vale of Clwyd","W07000060",39,0,38.4,2.6,7.1,0,13,"Conservative","Labour"
"Vale of Glamorgan","W07000078",46,2.1,32.6,2.6,5.6,0,10.7,"Conservative","Labour"
"Vauxhall","E14001008",27.3,7.6,53.8,6.9,0,0,2.9,"Labour","Conservative"
"Wakefield","E14001009",34.2,2.5,40.3,3.5,0,0,18.3,"Labour","Conservative"
"Wallasey","E14001010",22.7,3,60.4,2.3,0,0,11.7,"Labour","Conservative"
"Walsall North","E14001011",33.8,1.4,39,2.3,0,0,22,"Labour","Conservative"
"Walsall South","E14001012",32.8,2.7,47.2,1.6,0,0,15.6,"Labour","Conservative"
"Walthamstow","E14001013",13.4,6.4,68.9,4,0,0,6,"Labour","Conservative"
"Wansbeck","E14001014",21.8,3.8,50,6.2,0,0,18.2,"Labour","Conservative"
"Wantage","E14001015",53.3,5.1,16,13.1,0,0,12.5,"Conservative","Labour"
"Warley","E14001016",19.3,3.9,58.2,2.1,0,0,16.5,"Labour","Conservative"
"Warrington North","E14001017",28.2,2.8,47.8,4.1,0,0,17.1,"Labour","Conservative"
"Warrington South","E14001018",43.7,3,39.1,5.6,0,0,8.3,"Conservative","Labour"
"Warwick & Leamington","E14001019",47.9,3.9,34.9,5,0,0,8.3,"Conservative","Labour"
"Warwickshire North","E14000854",42.3,1.9,36,2.1,0,0,17.4,"Conservative","Labour"
"Washington & Sunderland West","E14001020",18.9,2.9,55,2.7,0,0,19.6,"Labour","UKIP"
"Watford","E14001021",43.5,2.4,26,18.1,0,0,9.8,"Conservative","Labour"
"Waveney","E14001022",42.3,3.4,37.7,2,0,0,14.5,"Conservative","Labour"
"Wealden","E14001023",57,6.4,10.8,9.1,0,0,16.7,"Conservative","UKIP"
"Weaver Vale","E14001024",43.2,2.5,41.4,3,0,0,9.7,"Conservative","Labour"
"Wellingborough","E14001025",52.1,4.4,19.5,4.4,0,0,19.6,"Conservative","UKIP"
"Wells","E14001026",46.1,4.1,6.6,32.8,0,0,9.9,"Conservative","Liberal Democrat"
"Welwyn Hatfield","E14001027",50.4,3.5,26.1,6.3,0,0,13.1,"Conservative","Labour"
"Wentworth & Dearne","E14001028",14.9,0,56.9,2.6,0,0,24.9,"Labour","UKIP"
"West Bromwich East","E14001029",24.9,1.7,50.2,2,0,0,21.2,"Labour","Conservative"
"West Bromwich West","E14001030",23.9,2,47.3,1.6,0,0,25.2,"Labour","UKIP"
"West Ham","E14001032",15.4,5,68.4,2.7,0,0,7.5,"Labour","Conservative"
"Westminster North","E14001036",41.8,3.3,46.8,3.7,0,0,3.8,"Labour","Conservative"
"Westmorland & Lonsdale","E14001037",33.2,3.7,5.4,51.5,0,0,6.2,"Liberal Democrat","Conservative"
"Weston-Super-Mare","E14001038",48,4.9,18.3,10.4,0,0,17.8,"Conservative","Labour"
"Wigan","E14001039",20.7,2.8,52.2,2.8,0,0,19.5,"Labour","Conservative"
"Wiltshire North","E14000860",57.2,4.6,9.8,15.6,0,0,11.5,"Conservative","Liberal Democrat"
"Wiltshire South West","E14000954",52.7,5.8,13.5,10.6,0,0,17.5,"Conservative","UKIP"
"Wimbledon","E14001040",52.1,4.1,26,12.7,0,0,5.1,"Conservative","Labour"
"Winchester","E14001041",55,4.8,8.3,24.4,0,0,7.5,"Conservative","Liberal Democrat"
"Windsor","E14001042",63.4,3.7,13.4,8.6,0,0,10,"Conservative","Labour"
"Wirral South","E14001043",37.2,2.1,48.2,3.5,0,0,8.9,"Labour","Conservative"
"Wirral West","E14001044",44.2,0,45.1,3.4,0,0,6.6,"Labour","Conservative"
"Witham","E14001045",57.5,4.3,15.8,6.1,0,0,16,"Conservative","UKIP"
"Witney","E14001046",60.2,5.1,17.2,6.8,0,0,9.2,"Conservative","Labour"
"Woking","E14001047",56.2,4.1,16.1,11.6,0,0,11.3,"Conservative","Labour"
"Wokingham","E14001048",57.7,3.7,14.5,13.5,0,0,9.9,"Conservative","Labour"
"Wolverhampton North East","E14001049",29.9,2.1,46.1,2.7,0,0,19.2,"Labour","Conservative"
"Wolverhampton South East","E14001050",22.3,1.7,53.3,2.3,0,0,20.3,"Labour","Conservative"
"Wolverhampton South West","E14001051",41.2,2.6,43.2,2.1,0,0,10.7,"Labour","Conservative"
"Worcester","E14001052",45.3,4.1,34,3.4,0,0,12.8,"Conservative","Labour"
"Worcestershire Mid","E14000818",57,3.7,14.5,7.2,0,0,17.7,"Conservative","UKIP"
"Worcestershire West","E14001035",56.1,6.5,13.4,9.7,0,0,14.4,"Conservative","UKIP"
"Workington","E14001053",30.1,3,42.3,4.4,0,0,19.6,"Labour","Conservative"
"Worsley & Eccles South","E14001054",30.1,3,44.2,2.6,0,0,18.3,"Labour","Conservative"
"Worthing East & Shoreham","E14000682",49.5,5.2,19.5,6.7,0,0,16.6,"Conservative","Labour"
"Worthing West","E14001055",51.5,5.8,15.7,8.8,0,0,18.3,"Conservative","UKIP"
"Wrekin, The","E14000992",49.7,3.2,26,4.3,0,0,16.8,"Conservative","Labour"
"Wrexham","W07000044",31.6,2,37.2,5.3,7.6,0,15.5,"Labour","Conservative"
"Wycombe","E14001056",51.4,6,22.5,8.8,0,0,10.1,"Conservative","Labour"
"Wyre Forest","E14001058",45.3,2.3,19.3,2.5,0,0,16.1,"Conservative","Labour"
"Wyre & Preston North","E14001057",53.2,3.4,24.8,5.4,0,0,13.2,"Conservative","Labour"
"Wythenshawe & Sale East","E14001059",25.7,3.8,50.1,4.5,0,0,14.7,"Labour","Conservative"
"Yeovil","E14001060",42.5,3.8,7.1,33.1,0,0,13.4,"Conservative","Liberal Democrat"
"Ynys Mon","W07000041",21.2,0,31.1,2.2,30.5,0,14.7,"Labour","Plaid Cymru"
"York Central","E14001061",28.3,10,42.4,8,0,0,10.1,"Labour","Conservative"
"York Outer","E14001062",49.1,4.7,24.8,11.6,0,0,9.7,"Conservative","Labour"
"Yorkshire East","E14000683",50.6,3.5,20.7,5.9,0,0,17.9,"Conservative","Labour"
